"ID","SexEstimate","BirthYear","MumID"
 552, 0, 1993,
 553, 1, 1993,
 554, 0, 1993,
 555, 1, 1993,
 556, 1, 1993,
 557, 1, 1993,
 558, 0, 1993,
 559, 1, 1993,
 560, 0, 1993,
 561, 0, 1993,
 562, 1, 1993,
 563, 0, 1994,
 564,, 1994,
 565,, 1994,
 566,, 1993,
 567,, 1994,
 568, 1, 1994,
 569,, 1994,
 570,, 1994,
 571, 0, 1994,
 572,, 1994,
 573,, 1994,
 574,, 1994,
 575,, 1994,
 576,, 1994,
 577,, 1994,
 578,, 1994,
 579,, 1994,
 580,, 1994,
 581,, 1994,
 582,, 1994,
 583,, 1994,
 584,, 1994,
 585,, 1994,
 586,, 1994,
 587, 0, 1994,
 588, 0, 1994,
 589, 1, 1994,
 590, 1, 1994,
 591, 1, 1994,
 592, 1, 1994,
 594, 0, 1993,
 595, 0, 1993,
 596, 0, 1993,
 597, 1, 1994,
 598, 0, 1993,
 599, 1, 1993,
 600, 0, 1993,
 601, 0, 1993,
 602, 1, 1993,
 603, 1, 1993,
 604, 0, 1993,
 605, 1, 1993,
 606, 1, 1993,
 607, 1, 1993,
 608, 0, 1993,
 609, 1, 1993,
 610, 0, 1993,
 611, 0, 1993,
 612,, 1994,
 613, 0, 1993,
 614, 1, 1993,
 615, 1, 1994,
 616, 1, 1993,
 617, 1, 1994,
 618,, 1994,
 619, 0, 1993,
 620, 0, 1994,
 621,, 1994,
 622,, 1993,
 623,, 1993,
 624, 0, 1994,
 625,, 1994,
 626,, 1994,
 627, 0, 1994,
 628, 0, 1993,
 629, 1, 1993,
 630, 0, 1993,
 631, 1, 1994,
 632, 1, 1993,
 633, 1, 1993,
 634, 1, 1993,
 635, 0, 1993,
 636, 1, 1993,
 637, 1, 1993,
 638, 0, 1993,
 639, 0, 1994,
 640, 0, 1993,
 641, 0, 1993,
 642, 1, 1993,
 643, 0, 1993,
 644, 1, 1993,
 645, 0, 1993,
 646, 0, 1993,
 647,, 1993,
 648, 1, 1993,
 649, 1, 1993,
 650, 0, 1993,
 651, 0, 1993,
 652, 1, 1993,
 653, 0, 1994,
