"id","mum","dad","p","FPID","O_Terr"
1709,"1049","1608",1,40,81
1710,"524","1566",1,41,114
1711,"1158","1396",1,40,52.1
1712,NA,"1357",0.999,40,52.1
1713,"1672","1533",1,41,67
1714,"1222","494",1,40,29
1715,"1043","676",1,40,108
1716,"1043","1412",1,41,108
1717,NA,"1360",0.865,40,62
1718,"858","1533",1,40,62
1719,"1247","494",0.999,40,17
1720,"1532","911",1,40,3
1721,"1511","1499",1,40,16
1722,"1401","1185",0.999,40,85
1723,"1550","1040",0.999,41,20
1724,"444","1165",1,40,26.1
1725,"1506","1359",0.992,40,19
1726,NA,"1504",0.967,41,41
1727,"666","1171",1,40,102
1728,"639","1610",1,40,101.1
1729,"604","1221",1,40,33
1730,"1612","1199",0.888,40,102
1731,"1701","1566",1,41,6
1732,NA,"544",1,41,103.1
1733,"840","1187",1,41,15
1734,"1735","1381",1,41,73
1735,"1190","917",0.906,40,82.1
1736,"1218","1542",1,41,26
1737,"1598",NA,0.717,41,82
1738,"862","1579",1,41,60.1
1739,"932","1557",0.999,41,37
1740,"930","1485",1,40,7
1741,"1559","1031",1,41,51.2
1742,"1510","1542",0.999,41,78
1743,"1415","1666",1,41,28.1
1744,NA,"1577",0.998,40,43
1745,"1369","1504",1,40,43
1746,"949","1540",1,41,41
1747,"826","1590",1,41,33.1
1748,"932","921",0.999,41,37
1749,"1674","1029",1,41,30.2
1750,"1362","1187",0.996,41,4
1751,"845","1276",1,40,93
1752,"1200","1553",1,41,34.5
1753,"1244","1188",1,41,50
1754,"1355","1234",1,40,53
1755,"1247","1020",1,41,17
1756,"1244","1178",0.985,40,50
1757,NA,NA,0.459,40,41.1
1758,"1757","1523",1,41,41.1
1759,"522","1360",1,40,58
1760,"1380","602",1,40,84
1761,"1186","921",0.999,41,50.1
1762,"927","501",1,41,1.1
1763,"1152","1349",0.999,41,12
1764,"1222","1684",1,30,29
1765,"628","1358",1,41,52
1766,"1415","1666",0.995,30,28.1
1767,"930","1485",1,41,7
1768,"1361","1590",0.999,30,35
1769,"1024","1412",1,30,87
1770,"1024","1412",0.993,30,87
1771,"925","1020",1,40,2
1772,NA,NA,0.335,30,15
1773,"1186","1184",1,41,50.1
1774,"1501","507",0.998,41,22
1775,"458","499",1,41,9
1776,"1510","1542",0.999,41,78
1777,"1017","1018",1,30,77
1778,"951","1196",1,41,59.1
1779,"1387","1670",1,41,87.1
1780,"1491","1356",1,41,57.1
1781,NA,"1579",0.994,41,117
1782,"1193","1553",0.44,41,48
1783,"1305","1595",1,30,47
1784,"1380","1395",0.989,41,84
1785,"1155","453",1,41,112
1786,"1538","1539",1,41,45
1787,"503","1184",0.931,41,25
1788,"1401","1551",0.995,41,85
1789,NA,NA,0.633,41,101
1790,"1403","1533",1,41,69
1791,"1172","544",1,41,94.1
1793,"1275","1610",1,41,96
1794,"1382","1677",1,41,92
1795,NA,"1165",0.712,41,16
1796,"1437","1196",1,41,59
1797,"1195",NA,0.775,41,63
1798,"1588","1581",1,30,92.1
1799,"869","1188",0.996,41,48
1800,"1193","1495",1,41,48
1801,"845","1276",1,41,93
1802,"524","1578",0.625,41,114
